,number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,state
0,0,0.8137398204218,2022-11-28 21:50:13.884942,2022-11-28 21:51:05.004354,0 days 00:00:51.119412,entropy,160,1,4,COMPLETE
1,1,0.8151597410732929,2022-11-28 21:51:05.006182,2022-11-28 21:51:46.620184,0 days 00:00:41.614002,gini,180,3,4,COMPLETE
