,number,value,datetime_start,datetime_complete,duration,params_n_neighbors,state
0,0,0.41145019983394127,2022-12-05 16:41:51.074295,2022-12-05 16:41:51.407785,0 days 00:00:00.333490,5,COMPLETE
1,1,0.37794109198628556,2022-12-05 16:41:51.408786,2022-12-05 16:41:51.646960,0 days 00:00:00.238174,10,COMPLETE
