,logistic,random_forest
0,-0.4154325417520863,-0.40447343469294894
1,-0.1969836870757269,-0.14014805360194538
2,-0.6892762820500848,-0.7150432755743824
3,-0.5728570952018126,-0.7133030602594672
4,-0.7493277096273452,-0.7680649405589038
5,-0.858704151070045,-0.8807350142141456
6,-0.13790284515180062,-0.1613619724745342
7,-0.7153358807471026,-0.7493708349957886
8,-0.48425928054108014,-0.6392858156011357
9,-0.537414810909828,-0.49573533857353425
